id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
86842225,алкоголь,віскі,Jack Daniels,30.09.2019,,1,,0.5,295.67,,Женя,,
86842225,солодощі,горіхова паста,Nutella,30.09.2019,,1,180,,50.75,,Женя,,
86842225,солодощі,шоколад,Millennium,30.09.2019,,1,135,,22.75,,Женя,,
86842225,солодощі,шоколад,Roshen,30.09.2019,,1,85,,14.92,,Женя,,
86842225,ковбаса та ковбасні вироби,ковбаса,,30.09.2019,,1,147,,61.43,,Женя,,
86857071,косметика,касети для гоління,Gillette,20.11.2019,,1,,,260.00,,Женя,,
86858817,алкоголь,горілка,Мороша Джерельна,24.02.2019,,1,,0.5,92.11,,Женя,,
86858817,напій безалкогольний,напій газований,Coca Cola,24.02.2019,,1,,1,13.87,,Женя,,
86858817,консерви овочеві,квасоля,Розумний вибір,24.02.2019,,1,,,19.40,,Женя,,
86858817,ковбаса та ковбасні вироби,ковбаса,,24.02.2019,,1,300,,75.80,,Женя,,
86858817,молочна продукція,вершки,Яготинське,24.02.2019,,1,200,,17.99,,Женя,,
86858817,снеки,насіння,,24.02.2019,,1,80,,11.60,,Женя,,
86858817,хлібобулочні вироби,пиріжок,,24.02.2019,,1,,,4.98,,Женя,,
86858817,соус,сирний,,24.02.2019,,1,200,,13.68,,Женя,,
86858817,спеції,часник,,24.02.2019,,1,,,4.57,,Женя,,
86860904,солодощі,шоколад,Milka,03.12.2019,,8,,,34.99,279.92,Женя,,
86862331,одяг,ремінь,,04.05.2019,,1,,,99.00,,Женя,,
86862331,техніка,зарядний пристрій,,04.05.2019,,1,,,289.00,,Женя,,
86862331,одяг,майка чоловіча,,04.05.2019,,1,,,39.90,,Женя,,
86862331,одяг,футболка чоловіча,,04.05.2019,,1,,,54.90,,Женя,,
86862331,одяг,шкарпетки,,04.05.2019,,4,,,28.90,115.60,Женя,,
86862331,інструменти,викрутка,,04.05.2019,,1,,,39.90,,Женя,,
86862409,NA,,,,,,,,,,Женя,,
86876119,NA,,,,,,,,,,Женя,,
86881165,алкоголь,ром,Сaptain Morgan,18.12.2019,,1,,0.5,267.90,,Женя,,
86884968,алкоголь,пиво,,14.01.2020,,24,,0.33,32.30,775.20,Женя,yes,вкрав ящики
86884968,алкоголь,горілка,Nemiroff,,,12,,0.5,89.40,1072.80,Женя,yes,вкрав ящики
